"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\events\events.gateway.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\events\events.gateway.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\events\events.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\main.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\mqtt\mqtt.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\mqtt\mqtt.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\src\mqtt\mqtt.service.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 13, 75
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\test\app.e2e-spec.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\test\jest-e2e.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\tsconfig.build.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\LINH\Document\BK\20242\GR\Code\SystemWeb\server\tsconfig.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 15, 479, 8502, 23, -2, -1416, -35, -37, -13, -22, -55, 7439
